                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1314,                0.70223,                0.88126,                0.55612,                 0.4296,                0.45134,                0.27509,                  1.216,                0.86578,                0.90234,              0.0023545,              0.0023545,              0.0023545
                     81,                 1.1301,                 0.6994,                0.88063,                0.55677,                0.42474,                0.44906,                0.27359,                  1.212,                0.86674,                0.90188,              0.0022564,              0.0022564,              0.0022564
                     82,                 1.1277,                0.69677,                0.88137,                0.55306,                0.42938,                0.44931,                0.27448,                 1.2107,                0.86486,                0.90164,              0.0021584,              0.0021584,              0.0021584
                     83,                 1.1227,                0.69485,                0.88031,                0.55952,                0.42788,                0.44829,                0.27387,                 1.2108,                0.86509,                0.90177,              0.0020604,              0.0020604,              0.0020604
                     84,                  1.121,                0.68962,                0.87858,                0.55451,                0.42926,                0.44883,                0.27456,                 1.2128,                0.86706,                0.90238,              0.0019624,              0.0019624,              0.0019624
                     85,                 1.1218,                0.69081,                0.87737,                0.56223,                0.42519,                0.44873,                0.27402,                 1.2147,                0.86963,                0.90273,              0.0018644,              0.0018644,              0.0018644
                     86,                 1.1205,                0.68881,                0.87845,                0.55495,                0.43115,                0.44881,                0.27403,                 1.2137,                0.86965,                0.90316,              0.0017663,              0.0017663,              0.0017663
                     87,                 1.1168,                 0.6836,                 0.8788,                0.56073,                0.42666,                 0.4498,                0.27422,                 1.2131,                0.86771,                0.90272,              0.0016683,              0.0016683,              0.0016683
                     88,                 1.1159,                0.68095,                0.87837,                0.55671,                0.43023,                0.44962,                0.27411,                 1.2139,                0.86958,                0.90236,              0.0015703,              0.0015703,              0.0015703
                     89,                 1.1117,                0.68109,                0.87696,                0.55565,                0.42992,                0.44872,                0.27342,                 1.2145,                0.87064,                0.90264,              0.0014723,              0.0014723,              0.0014723
                     90,                 1.1102,                0.67672,                0.87639,                0.55518,                0.43137,                0.44911,                0.27387,                 1.2144,                0.87002,                0.90234,              0.0013743,              0.0013743,              0.0013743
                     91,                 1.1087,                 0.6744,                0.87687,                0.56379,                0.42548,                0.44957,                 0.2737,                 1.2164,                0.87223,                0.90233,              0.0012762,              0.0012762,              0.0012762
                     92,                 1.1083,                0.66378,                0.87929,                0.57432,                0.42039,                0.44837,                0.27351,                 1.2203,                0.87429,                0.90309,              0.0011782,              0.0011782,              0.0011782
                     93,                  1.092,                0.64821,                0.87591,                0.55668,                0.42963,                0.44824,                0.27267,                 1.2231,                0.87666,                0.90385,              0.0010802,              0.0010802,              0.0010802
                     94,                  1.087,                0.64103,                0.87508,                0.55504,                0.42796,                0.44944,                0.27317,                  1.223,                0.87569,                0.90392,             0.00098218,             0.00098218,             0.00098218
                     95,                 1.0864,                0.64044,                0.87482,                0.55543,                0.42936,                0.44859,                0.27243,                 1.2227,                0.87577,                0.90386,             0.00088416,             0.00088416,             0.00088416
                     96,                 1.0822,                0.63642,                 0.8747,                0.55342,                0.43105,                0.44872,                0.27208,                 1.2227,                0.87611,                0.90401,             0.00078614,             0.00078614,             0.00078614
                     97,                 1.0789,                 0.6317,                  0.874,                0.55327,                0.42659,                0.44851,                0.27201,                 1.2228,                0.87763,                0.90415,             0.00068812,             0.00068812,             0.00068812
                     98,                 1.0787,                0.63156,                0.87352,                0.55368,                0.42854,                0.44769,                0.27248,                 1.2228,                0.87693,                0.90411,              0.0005901,              0.0005901,              0.0005901
                     99,                 1.0714,                0.62536,                0.87223,                0.55247,                0.42858,                0.44771,                0.27196,                 1.2242,                 0.8777,                0.90428,             0.00049208,             0.00049208,             0.00049208
                    100,                 1.0704,                0.62214,                0.87319,                0.55183,                0.42943,                 0.4479,                0.27185,                 1.2249,                0.87819,                0.90466,             0.00039406,             0.00039406,             0.00039406
                    101,                 1.0734,                0.62295,                0.87209,                0.55098,                0.43074,                0.44789,                0.27154,                 1.2254,                0.87927,                0.90469,             0.00029604,             0.00029604,             0.00029604
